::ffff:93.174.95.106 - - [04/Apr/2022:19:02:21 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:93.174.95.106 - - [04/Apr/2022:19:02:21 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:93.174.95.106 - - [04/Apr/2022:19:02:22 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:130.211.54.158 - - [04/Apr/2022:19:02:53 +0000] "GET / HTTP/1.1" 302 35 "-" "python-requests/2.27.1"
::ffff:103.178.236.40 - - [04/Apr/2022:19:35:41 +0000] "GET http://example.com/ HTTP/1.1" 302 35 "-" "Go-http-client/1.1"
::ffff:103.178.236.40 - - [04/Apr/2022:19:35:41 +0000] "GET http://example.com/users/signin HTTP/1.1" 200 2817 "http://example.com" "Go-http-client/1.1"
::ffff:13.84.35.46 - - [04/Apr/2022:22:43:36 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:13.84.35.46 - - [04/Apr/2022:22:43:36 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "-"
::ffff:103.178.236.40 - - [04/Apr/2022:22:51:09 +0000] "GET http://example.com/ HTTP/1.1" 302 35 "-" "Go-http-client/1.1"
::ffff:103.178.236.40 - - [04/Apr/2022:22:51:09 +0000] "GET http://example.com/users/signin HTTP/1.1" 200 2817 "http://example.com" "Go-http-client/1.1"
